title,description,link
N/A,N/A,"https://www.glassdoor.com/job-listing/power-bi-crystal-reports-amerisource-consulting-inc-JV_IC1155641_KO0,24_KE25,51.htm?jl=1009811233447"
Tableau Developer,"Job Title: Tableau Developer
Description: The candidate must be a senior Tableau developer who will be required to:
Design, develop and maintain advanced Tableau dashboards using both Tableau Desktop and Tableau Server
Publish, schedule, and manage dashboards and data sources in Tableau Server, ensuring version control and access security
Write complex SQL queries in DBeaver to extract, transform, and validate data from relational databases
Perform QA and testing to ensure data quality, completeness and accuracy in collaboration with ODH and the data engineers
Experience with working in the State of Ohio Innovate Ohio Platform and data warehousing in a must","https://www.glassdoor.com/job-listing/tableau-developer-neodymium-JV_IC1145845_KO0,17_KE18,27.htm?jl=1009797982844"
Power BI Co-Op,"About American Ordnance
At American Ordnance, we know the stakes and We do what we say! ® We’re the team working behind the scenes to make sure our nation’s front lines have safe, high-quality ammunition. As a trusted premier manufacturer of ammunition to the U.S. Military, some of our capabilities range from production of direct and indirect fire, warheads, to special projects and beyond. With more than 70 years of experience and Day & Zimmermann behind us, it’s no surprise that our teams consistently exceed expectations. Come join in on our purpose – We put people to work, we protect American freedoms, and we help our customers power and improve the world! https://aollc.biz
Job Summary","https://www.glassdoor.com/job-listing/power-bi-co-op-day-zimmermann-JV_IC1149151_KO0,14_KE15,29.htm?jl=1009811373718"
Power BI Designer,"We are looking for a Microsoft PowerBI Designer which would include the following skill sets:
The primary skill set we are looking for in a Power BI Designer is the bridge between raw data and meaningful executive-level insights, using Power BI's tools to create engaging and informative visualizations and dashboards.
Key Skill sets of a Power BI Designer:
Building reports and dashboards:
Use Power BI's tools to design interactive visualizations and dashboards that effectively communicate insights from data.
Creating and managing themes and style presets:
Define consistent visual styles for reports and dashboards to improve readability and brand alignment.
Data modeling and preparation:
Connect to different data sources, transform data, and model relationships between tables using Power Query and Power Pivot.
Sharing and publishing content:
Organize reports, dashboards, and datasets into workspaces and apps for easier sharing with others.
Collaborating with others:
Collaborate with colleagues or teams to build and refine Power BI content, assigning roles and managing permissions for secure collaboration.
Developing and deploying apps:
Bundle reports, dashboards, and datasets into apps for streamlined sharing with larger audiences.
Managing data access and permissions:
Control who can view and interact with Power BI content.
Job Type: Contract
Pay: $65.00 - $80.00 per hour
Expected hours: 40 per week
Schedule:
8 hour shift
Application Question(s):
Are you comfortable working on W2?
Are you legally authorized to work in the United States, US Citizen/Green Card Holder?
How many years of work experience do you have with Dashboards?
Are you willing to work on a 3-month contract with possible extension?
How many years of work experience do you have with Microsoft Power Query?
How many years of experience do you have in designing interactive visualizations and dashboards that effectively communicate insights from data?
Do you have an available portfolio/sample works?
Do you have experience building C-Level Executive reports?
Does your work involve data visualization for at least 90% of the day?
Work Location: Remote","https://www.glassdoor.com/job-listing/power-bi-designer-flex-employee-services-JV_KO0,17_KE18,40.htm?jl=1009772972400"
Power BI Developer,"19562
IES Holdings
Sugar Land, Texas

Job Description
About IES Holdings, Inc.
IES Holdings, Inc. is a leading provider of electrical contracting services, providing innovative solutions to complex challenges across diverse industries. With a commitment to operational excellence, we leverage cutting-edge technology to enhance efficiency and deliver value to our clients. We are seeking a dynamic and experienced Power BI Developer to join our team and contribute to the digital transformation of our business processes.
Position Overview
IES Holdings, Inc is seeking a Power BI Developer with expertise in Microsoft’s Power BI Desktop and Power BI Services (Fabric), to support reporting and KPI development for business applications and intelligence. The ideal candidate will play a critical role in designing, developing, deploying, and supporting Power BI solutions to optimize business processes and enhance customer engagement.
Key Responsibilities
Power BI Development & Visualization:
Design, develop, and maintain interactive Power BI dashboards and reports to support business insights.
Create data models, measures, and calculations using DAX (Data Analysis Expressions).
Implement custom visuals, slicers, and drill-through capabilities to enhance user experience.
Optimize Power BI reports for performance, scalability, and usability.
Work closely and collaborate with business leaders to understand business requirements and translate them into actionable reports.
Data Integration & Modeling
Connect Power BI to various data sources such as SQL Server, Azure, Excel, APIs, and other cloud/on-premise databases.
Develop ETL processes using Power Query (M Language) and SQL for data transformation and cleansing.
Implement data relationships and star schema modeling for efficient querying and reporting.
Ensure data accuracy, consistency, and governance across all reports.
Performance Optimization & Support
Monitor Power BI performance metrics and implement optimizations such as indexing, query tuning, and data aggregation.
Troubleshoot data refresh issues, gateway configurations, and report access permissions.
Manage Power BI workspace, dataflows, and app deployments.
Provide end-user training and documentation on how to use Power BI reports effectively.

Specific Qualifications

Education:
Associates degree in Business Administration, Finance, Computer Science, or a related field. Bachelor’s degree is a plus.

Experience:
Minimum 3-5 years of experience with Power BI Development, DAX, Power Query (M Language).
Experience with data modeling, ETL processes, and SQL.

Technical Skills:
Proficiency in SQL Server, T-SQL, and data modeling techniques.
Experience with ETL processes, data transformation, and working with large datasets.
Knowledge of Azure services (Azure Synapse, Azure Data Factory, Azure SQL, Power Automate) is a plus.
Understanding of data governance, security roles, and row-level security (RLS) in Power BI.
Familiarity with Python, R, or AI/ML integrations in Power BI is a plus.

Soft Skills:
Interact with senior leadership and business users.
Excellent analytical and problem-solving abilities.
Strong communication and interpersonal skills.
Ability to translate complex data into clear, actionable insights.
Experience working in Agile/Scrum development environments.
Ability to work independently and as part of a team.
Attention to detail and commitment to delivering high-quality work.
Ability to work in a fast-paced, evolving environment with minimal supervision
Preferred Qualifications
Microsoft Certified: Power BI Data Analyst Associate or similar certification.
Experience with cloud-based BI solutions and data warehousing.
Familiarity with Power Automate, Power Apps, and AI-driven analytics.
Previous experience in Finance and Construction industries.

Company Overview

IES is a national provider of industrial products and infrastructure services to a variety of end markets, including electrical, mechanical and communications contracting solutions for the commercial, industrial, residential and renewable energy markets. IES is publicly traded on NASDAQ under the symbol IESC. As of the end of IES’s 2024 fiscal year ending September 30, 2024, IES produced over $2.8 billion in revenue and employed over 9,400 employees at over 131 domestic locations across the United States. IES is an Equal Employment Opportunity Employer: Minorities, Females, Gender Identity, Sexual Orientation, Individuals with Disabilities, Protected Veterans Encouraged to Apply.

From office buildings to wind farms, industrial complexes to housing developments, our employees and design professionals design, build, and maintain the systems that empower lives.

Our commitment to our employees is reflected by our actions:
Safety is Priority One – and our record shows it
Competitive Pay
Company 401K plan with Employer Contribution Match
Company Paid Time Off
Company Paid Life Insurance
Choice of Medical Coverage including Prescription and Short Term Disability Plans
Choice of Dental and Vision Coverage
Optional Long-term Disability, Critical Illness, Accident, Legal and Pet Coverage
Auto and Home Insurance Discount Programs","https://www.glassdoor.com/job-listing/power-bi-developer-ies-holdings-JV_IC1140225_KO0,18_KE19,31.htm?jl=1009799311641"
Lead Power BI Developer,"We are seeking a Power BI Reporting Lead to drive the design, development, and delivery of advanced business intelligence reports and dashboards. The ideal candidate will have strong experience in Power BI, SQL, and data modeling, and will play a key role in translating business requirements into scalable reporting solutions.
Key Responsibilities:
Lead the end-to-end development of Power BI dashboards and visualizations.
Collaborate with business stakeholders to gather requirements and design intuitive and impactful reports.
Develop data models (star/snowflake schema) to support reporting needs.
Write complex SQL queries to extract, transform, and validate data from various sources.
Optimize Power BI datasets and visuals for performance and usability.
Ensure data accuracy, consistency, and adherence to data governance policies.
Guide and mentor junior BI developers on best practices and standards.
Required Skills:
Strong hands-on experience with Power BI (DAX, Power Query, Paginated Reports).
Proficient in writing T-SQL and managing large datasets.
Solid understanding of data modeling techniques and ETL concepts.
Experience integrating Power BI with various data sources (SQL Server, Azure, Excel, etc.).
Excellent analytical, communication, and stakeholder management skills.","https://www.glassdoor.com/job-listing/lead-power-bi-developer-anblicks-JV_IC1139977_KO0,23_KE24,32.htm?jl=1009733448500"
Power BI Developer,"Piper Companies is looking for a Power BI Developer to join a government contractor in Aberdeen Proving Ground, MD. This role requires the candidate to report onsite 3x a week and have an active Secret Clearance

Essential Duties of the Power BI Developer:
Lead initiatives to modernize client's technical infrastructure by improving existing systems and processes for enhanced efficiency and effectiveness
Design, develop, and implement solutions using Microsoft Power Apps and Power BI to support projects such as performance metrics and case development and execution
Create custom applications and workflows using Power Apps and Power Automate to streamline internal processes such as dashboard requirement collection and routine data tasks
Brief senior leadership on new digital tools and dashboards to ensure alignment with organizational strategy and drive informed decision-making

Qualifications of the Power BI Developer:
Bachelor's degree preferred and 5+ years of relevant experience with Power Platform or Application Development
Hands-on experience with Microsoft Copilot 365, including integrating AI tools into daily workstreams preferred
Excellent stakeholder engagement and communication skills
Experience in knowledge management and dashboard development
Active Secret security clearance required

Compensation for the Power BI Developer:
$130,000 - $150,000 (based on experience)
Comprehensive benefit package; Cigna Medical, Cigna Dental, Vision, 401k w/ ADP, PTO, paid holidays, sick Leave as required by law
This job opens for applications on 7/8/25. Applications for this job will be accepted for at least 30 days from the posting date

#LI-HYBRID
#LI-BM2

Power BI, DAX, Power Query, M Language, Dataflows, Data Gateway, Row-Level Security (RLS), Role-Level Access, Azure Active Directory (AAD), Common Access Card (CAC), DoD365, Microsoft Government Cloud, GCC High, Power BI Service, Power BI Desktop, Workspace, Dataset, Report, Dashboard, Paginated Reports, Report Builder, Embedded Analytics, Power Platform, Power Apps, Power Automate, Data Loss Prevention (DLP), Conditional Access, Information Protection, Sensitivity Labels, Audit Logs, Activity Logs, Compliance Center, Microsoft Purview, Data Classification, Data Governance, Data Modeling, ETL, SQL Server, Azure SQL, Azure Synapse, Azure Data Lake, SharePoint Online, OneDrive for Business, REST API, Power BI API, JSON, OData, Secure Score, FedRAMP, NIST 800-53, RMF, STIG, DISA, IL5, IL6, Zero Trust, Multi-Factor Authentication (MFA), Identity and Access Management (IAM), Role-Based Access Control (RBAC), Tenant Settings, Capacity Management, Premium Capacity, Deployment Pipelines, DevSecOps, CI/CD, Git Integration, PowerShell, ALM Toolkit, Data Refresh, Incremental Refresh, DirectQuery, Import Mode, Composite Models, Data Sources, On-Premises Data Gateway, VPN, VNet, Azure Monitor, Log Analytics, Sentinel, Security Operations Center (SOC), Insider Threat, Data Exfiltration, Mission Data, Operational Dashboards, Readiness Reporting, Force Structure, Logistics Data, Financial Management, Acquisition Reporting, Cybersecurity Metrics, Insider Threat Indicators, Command-Level Reporting, Joint All-Domain Command and Control (JADC2), CUI, FOUO, TS/SCI, Data Masking, Data Obfuscation, Audit Trail, Change Management, Governance Board, Data Stewardship, Metadata Management, Data Catalog, KPI, SLA, SLA Monitoring, Performance Optimization, Query Diagnostics, Usage Metrics, Custom Visuals, Certified Datasets, Shared Datasets, Semantic Models, Deployment Strategy, Environment Strategy, Tenant Isolation, Cross-Tenant Sharing, Data Sovereignty, Compliance Reporting, Mission Assurance, Operational Security (OPSEC), Continuity of Operations (COOP), Disaster Recovery (DR), System Authorization, Authority to Operate (ATO), Plan of Action and Milestones (POA&M), Security Control Assessment (SCA), Configuration Management, Patch Management, Insider Risk Management, Data Retention Policy, Data Archiving, Data Lifecycle Management","https://www.glassdoor.com/job-listing/power-bi-developer-piper-companies-JV_IC1153520_KO0,18_KE19,34.htm?jl=1009809874634"
Power BI Developer,"Capital Markets experience is MUST.
Candidates local to NY/NJ are preferred.
We are seeking a highly skilled and motivated Business Intelligence Engineer to join our team. The ideal candidate will be responsible for designing, developing, and maintaining business intelligence solutions that drive data-driven decision-making across the organization. This role requires a deep understanding of data warehousing, data modeling, and ETL processes, as well as strong analytical and problem-solving skills. Experience with business intelligence tools, particularly Power BI, including creating complex dashboards and reports. The candidate will be responsible for the design and development of reports, dashboards and ad-hoc queries. The position calls for someone that is comfortable working with business users along with business analyst expertise.
Experience with the following technologies is required: Power BI Dashboards, Paginated Reports, DAX, Snowflake, PBRS (Power BI Report Scheduler), Power On, SQL Server, Datawarehousing, Semantic Model Tooling
Required skills & experience:
Minimum 8+ years of combined experience in data warehousing/business intelligence/analytics and reporting systems.
Minimum 8+ years of relational and multi-dimensional (OLAP) data modeling.
Proficiency in the use of SQL, including relational and dimensional database structures, query optimization, specifically with SQL Server and Snowflake.
Strong knowledge of Capital markets, Fixed Income, Equity and Derivative businesses.
Strong ability to analyze user requirements, make recommendations and implement solutions.
Self-driven and should be able to troubleshoot and provide quick resolutions to issues.
Full project management and development life cycle experience.
Strong oral and written communication skillsStrong presentation and interpersonal skills.
Ability to prioritize and execute in a high-pressured environment.
Bachelor degree (Computer Science, Information Systems or Computer Engineering).
Job Type: Contract
Pay: $50.00 - $60.00 per hour
Work Location: In person","https://www.glassdoor.com/job-listing/power-bi-developer-global-technology-partners-llc-JV_IC1126816_KO0,18_KE19,49.htm?jl=1009812653087"
Power BI and Tableau Developer,"Job Title: Power BI and Tableau Developer
Location: Albany, NY (Hybrid – 3 days onsite/week)
Duration: 24-month contract
Client Domain: State of New York
Interview: Video or In-person (Local candidates only)
Job Description
We are seeking an experienced Power BI and Tableau Developer to design, develop, and maintain advanced data visualizations, dashboards, and reports for New York State government agencies. The ideal candidate will have 4–7 years of hands-on experience with both Power BI and Tableau, along with expertise in SQL, data modeling, and translating complex datasets into actionable insights for stakeholders.
Mandatory Qualifications
4–7 years of experience as a Specialist in Power BI and Tableau, including:
End-to-end development of reports, dashboards, and data models.
Transforming raw data into visually compelling, user-friendly insights for decision-makers.
4+ years of government/public sector experience (NY State preferred).
Technical Requirements
Proficiency in SQL (T-SQL, SSRS, Power Query) and data extraction techniques.
Advanced DAX skills for complex calculations and performance optimization in Power BI.
Data modeling expertise: Relational database design, star/snowflake schemas, and normalization.
Data warehouse knowledge: ETL processes, dimensional modeling, and enterprise reporting strategies.
Analytical skills: Ability to identify patterns, trends, and anomalies in large datasets.
Soft Skills & Collaboration
Strong verbal and written communication skills, with experience presenting insights to executives and cross-agency teams.
Experience working in public sector environments or inter-agency collaborations.
Ability to document requirements, design solutions, and train end-users.
Work Arrangement
Hybrid role: 3 days per week onsite in Albany, NY (local candidates only).
Contract duration: 24 months.
Interview Process
Video or in-person interview.
Candidates must be able to start promptly upon selection.
Job Types: Full-time, Contract
Pay: $40.00 - $50.00 per hour
Expected hours: 40 per week
Schedule:
8 hour shift
Monday to Friday
Work Location: Hybrid remote in Albany, NY 12202","https://www.glassdoor.com/job-listing/power-bi-and-tableau-developer-lams-technology-llc-JV_IC1131650_KO0,30_KE31,50.htm?jl=1009805037321"
Power Apps Developer,"Job Summary
We are seeking a skilled Developer to join our team. The ideal candidate will be responsible for developing and maintaining high-quality software products.
Qualification:
Required-Experience with Software as a Service (SaaS) and/or Platform as a Service (PaaS) environments
Required-Experience as a Software Engineer or Application Developer
Required-Hands-on experience with Microsoft Power Apps and Power Automate technical solutions
Required-Microsoft Power Platform development experience
Required-Experience with Agile development processes and sprint planning
Required-Experience in design and development of Canvas and Model-driven Power Apps by utilizing Microsoft Dataverse, SharePoint, or other databases as the backend data storage model
Required-Experience in design and development of Power BI reports
Required-Experience developing Power Automate Flows, Desktop Flows, business process flows
Required-Experience in Dataverse tables and uses
Preferred-Experience in Power Platform Center of Excellence (CoE) Admin Center
Preferred-Good teamwork skills, and ability to collaborate with other functional and technical staff on the project
Preferred-Ability to work independently as well as collaboratively on cross-functional teams
Preferred-Communication, analytical, and interpersonal skills at all levels of an organization
Job Types: Full-time, Contract
Pay: $90.00 - $100.00 per hour
Schedule:
Monday to Friday
Ability to Commute:
Austin, TX 78751 (Preferred)
Ability to Relocate:
Austin, TX 78751: Relocate before starting work (Preferred)
Work Location: In person","https://www.glassdoor.com/job-listing/power-apps-developer-mvs360-inc-JV_IC1139761_KO0,20_KE21,31.htm?jl=1009686458797"
