title,description,link
Manager- Data Transformation Intelligence and Impact (DTII) at John Snow Inc (JSI),"Our ideal candidate is self-motivated, adaptable, and analytical, comfortable navigating complexity and building partnerships. They are passionate about all aspects of research and learning, especially implementation research, and have a keen interest in supply chain management, expanding health access, data analytics, and empowering stakeholders through evidence-based solutions and translating evidence to practice. A strong commitment to user-centered, practical research and continuous learning is key to success in this role.
Responsibilities:
Monitoring & Evaluation – DISC 2.0 Project
Design and operationalize comprehensive M&E systems to monitor DMPA-SC self-injection uptake across Nairobi, Nakuru, and Kakamega counties.
Oversee baseline and routine data collection, virtual surveys, and data quality assessments and generate insights for decision making.
Mentor and support subnational MOH teams to strengthen data reporting, analysis, and use in decision-making.
Lead advocacy for integration and disaggregation of SI indicators within Kenya’s HMIS(KHIS) platform.
Develop dashboards, reports, and data visualizations for adaptive program learning.
Implementation Research – OPC & Market Test Projects
Lead the development of research protocols and tools for studying the feasibility, acceptability, and regulatory enablers of implant provision through pharmacies.
Manage IRB submissions and coordinate data collection and analysis with partners, including URADCA, PSK, KPA, and MOH.
Synthesize findings into policy briefs, learning products, and peer-reviewed publications to inform national-level decisions.
Facilitate evidence-to-policy dialogues and technical working group engagements.
Research/Learning Leadership and Execution
Lead the planning, execution, and quality assurance of relevant research, analytics, monitoring, evaluation, and learning (MEL) activities across inSupply’s project portfolio, upholding high standards for research design and execution.
Drive timely delivery of work plans, budgets, and deliverables for the DISC 2.0 and OPC & Market Test projects, ensuring alignment with donor expectations and organizational strategy**.**
Advanced Analytics and Data Use
Apply predictive and prescriptive analytics to strengthen supply chain forecasting and program performance.
Build and maintain interactive dashboards, performance scorecards, and data visualizations for internal teams, donors, and government stakeholders.
Translate complex data into compelling narratives that support strategic decision-making.
Stakeholder Engagement and Policy Influence
Cultivate strong working relationships with the national and county MOH, development partners, research institutions, and technical working groups.
Represent inSupply in policy dialogues, learning exchanges, technical advisory groups (TAGs), and strategic forums.
Facilitate the translation of evidence into policies and practices that improve health product availability and access.
People and Team Development
Lead, mentor, and grow a high-performing team of Senior Analysts and Analysts, fostering a culture of accountability, creativity, and continuous learning.
Provide technical backstopping, coaching, and performance management aligned with team and organizational objectives.
Knowledge Management and Strategic Learning
Drive documentation and dissemination of insights, case studies, best practices, and innovations emerging from DISC 2.0, OPC and Market Test projects.
Lead development of thought leadership materials, including technical reports, policy briefs, journal articles, and conference abstracts.
Strengthen internal learning loops and adaptive programming through structured reflection and cross-project learning.
Qualifications:
Bachelor’s degree in Public Health, Data Science, Epidemiology, Supply Chain, or a related field. A master’s degree in any of the above disciplines is desired.
At least 8 years of progressive experience in M&E, analytics, or implementation research within global/public health programs.
Demonstrated experience designing and implementing M&E frameworks, conducting implementation research, and applying data science or advanced analytics to health programming.
Strong leadership and project management skills; experience managing multi-stakeholder projects and donor-funded initiatives.
Experience with client relationship management and partnerships with members of the international donor community, including bilateral and multilateral donor agencies and private foundations.
Excellent and proactive oral and written communication, presentation, and organizational skills (both analytical and problem-solving) and the ability to distill complex ideas into simple language. The ability to write concise, clear reports is a strong requirement.
Strong mastery of the principles and current approaches to monitoring and evaluating global health programs.
Recognized skills and experience in the design of research and evaluation strategies and quantitative and/or qualitative data collection and analysis. Experience in mixed methods strategies is preferred
Recognized experience leading the design, implementation, analysis and production of evaluation and research studies (quantitative and qualitative)
Skills in Microsoft Excel and one or more analytical softwares (such as SPSS, SAS, Epi Info, for quantitative data, and Maxqda2 or Nvivo for qualitative data).
Ability to contribute to both individual and institutional capacity-building efforts, including training, holding workshops and providing support and mentoring
A proven ability to work as a part of a team but be self-managing of own time and results, and to be a proactive and clear communicator. Strong preference for a candidate able to work with diverse teams and is a team player, can take initiative, be flexible, adaptable, creative, and demonstrates technical leadership.
Experience working with the Ministry of Health and local government.
Experience with the international donor community, including bilateral and multilateral donor agencies and private foundations.
Excellent and proactive oral and written communication, presentation, and organizational skills (both analytical and problem-solving).
Experience with mining, analysis, interpretation and presentation and visualization of data desirable and knowledge of software computer applications to facilitate data analysis.
Ability to travel up-to 30% time regionally, and internationally.
Ability to work comfortably in the MS Office package, specifically MSWord, Access, Vizio, and PowerPoint.
This is a full-time position based in Kenya. inSupply offers excellent benefits.",https://www.myjobmag.co.ke/job/manager-data-transformation-intelligence-and-impact-dtii-john-snow-inc-jsi
Manager – Data Transformation Intelligence and Impact at InSupply Health,"Job Summary
inSupply Health Ltd. is seeking a dynamic and experienced Manager – Data Transformation, Intelligence & Impact (DTII) to lead the Monitoring, Learning, and Evaluation (MLE) and implementation research efforts across a portfolio of transformative health programs. This Nairobi-based role, with regional travel, offers a unique opportunity to shape data use culture and evidence generation within three high-impact projects, while supporting learning across others:
DISC 2.0—a PSI-led initiative scaling access to DMPA-SC self-injection in Kenya.
Optimizing the Pharmacy Channel (OPC)—an inSupply-led effort advancing contraceptive provision through pharmacies and driving regulatory and policy change.
Market Test—an inSupply-led project focused on testing scalable pharmacy-based family planning delivery models.
The successful candidate will play both technical and strategic leadership roles, implementing projects, contributing to business development, lead the design and implementation of research, and provide oversight to MLE activities. They will design and operationalize M&E frameworks, lead data collection and analysis, support integration of self-injection (SI) indicators into national systems, and build capacity among national and subnational health teams. The role also involves spearheading research aligned with project and national family planning goals and contributing to global learning agendas.
Our ideal candidate is self-motivated, adaptable, and analytical, comfortable navigating complexity and building partnerships. They are passionate about all aspects of research and learning, especially implementation research, and have a keen interest in supply chain management, expanding health access, data analytics, and empowering stakeholders through evidence-based solutions and translating evidence to practice. A strong commitment to user-centered, practical research and continuous learning is key to success in this role.
Responsibilities:
Monitoring & Evaluation – DISC 2.0 Project
Design and operationalize comprehensive M&E systems to monitor DMPA-SC self-injection uptake across Nairobi, Nakuru, and Kakamega counties.
Oversee baseline and routine data collection, virtual surveys, and data quality assessments and generate insights for decision making.
Mentor and support subnational MOH teams to strengthen data reporting, analysis, and use in decision-making.
Lead advocacy for integration and disaggregation of SI indicators within Kenya’s HMIS(KHIS) platform.
Develop dashboards, reports, and data visualizations for adaptive program learning.
Implementation Research – OPC & Market Test Projects
Lead the development of research protocols and tools for studying the feasibility, acceptability, and regulatory enablers of implant provision through pharmacies.
Manage IRB submissions and coordinate data collection and analysis with partners, including URADCA, PSK, KPA, and MOH.
Synthesize findings into policy briefs, learning products, and peer-reviewed publications to inform national-level decisions.
Facilitate evidence-to-policy dialogues and technical working group engagements.
Research/Learning Leadership and Execution
Lead the planning, execution, and quality assurance of relevant research, analytics, monitoring, evaluation, and learning (MEL) activities across inSupply’s project portfolio, upholding high standards for research design and execution.
Drive timely delivery of work plans, budgets, and deliverables for the DISC 2.0 and OPC & Market Test projects, ensuring alignment with donor expectations and organizational strategy.
Advanced Analytics and Data Use
Apply predictive and prescriptive analytics to strengthen supply chain forecasting and program performance.
Build and maintain interactive dashboards, performance scorecards, and data visualizations for internal teams, donors, and government stakeholders.
Translate complex data into compelling narratives that support strategic decision-making.
Stakeholder Engagement and Policy Influence
Cultivate strong working relationships with national and county MOH, development partners, research institutions, and technical working groups.
Represent inSupply in policy dialogues, learning exchanges, technical advisory groups (TAGs), and strategic forums.
Facilitate the translation of evidence into policies and practices that improve health product availability and access.
People and Team Development
Lead, mentor, and grow a high-performing team of Senior Analysts and Analysts, fostering a culture of accountability, creativity, and continuous learning.
Provide technical backstopping, coaching, and performance management aligned with team and organizational objectives.
Knowledge Management and Strategic Learning
Drive documentation and dissemination of insights, case studies, best practices, and innovations emerging from DISC 2.0, OPC and Market Test
Lead development of thought leadership materials, including technical reports, policy briefs, journal articles, and conference abstracts.
Strengthen internal learning loops and adaptive programming through structured reflection and cross-project learning.
Qualifications:
Bachelor’s degree in Public Health, Data Science, Epidemiology, Supply Chain, or a related field. A master’s degree in any of the above disciplines is desired.
At least 8 years of progressive experience in M&E, analytics, or implementation research within global/public health programs.
Demonstrated experience designing and implementing M&E frameworks, conducting implementation research, and applying data science or advanced analytics to health programming.
Strong leadership and project management skills; experience managing multi-stakeholder projects and donor-funded initiatives.
Experience with client relationship management and partnerships with members of the international donor community, including bilateral and multilateral donor agencies and private foundations.
Excellent and proactive oral and written communication, presentation, and organizational skills (both analytical and problem solving) and the ability to distill complex ideas into simple language. The ability to write concise, clear reports is a strong requirement.
Strong mastery of the principles and current approaches to monitoring and evaluating global health programs.
Recognized skills and experience in the design of research and evaluation strategies and quantitative and/or qualitative data collection and analysis. Experience in mixed methods strategies is preferred
Recognized experience leading the design, implementation, analysis and production of evaluation and research studies (quantitative and qualitative)
Skills in Microsoft Excel and one or more analytical softwares (such as SPSS, SAS, Epi Info, for quantitative data, and Maxqda2 or Nvivo for qualitative data).
Ability to contribute to both individual and institutional capacity-building efforts, including training, holding workshops and providing support and mentoring
A proven ability to work as a part of a team but be self-managing of own time and results, and to be a proactive and clear communicator. Strong preference for a candidate able to work with diverse teams and is a team player, can take initiative, is flexible, is adaptable, is creative, and demonstrates technical leadership.
Experience working with the Ministry of Health and local government.
Experience with the international donor community, including bilateral and multilateral donor agencies and private foundations.
Excellent and proactive oral and written communication, presentation, and organizational skills (both analytical and problem-solving).
Experience with mining, analysis, interpretation, and presentation and visualization of data is desirable, as is knowledge of software computer applications to facilitate data analysis.
Ability to travel up to 30% of the time regionally and internationally.
Ability to work comfortably in the MS Office package, specifically MS Word, Access, Vizio, and PowerPoint.
This is a full-time position based in Kenya. inSupply offers excellent benefits.",https://www.myjobmag.co.ke/job/manager-data-transformation-intelligence-and-impact-insupply-health
Business Intelligence Analyst at Gertrude's Children's Hospital,"Key Responsibilities
Collaborate with various stakeholders at Gertrude’s such as in management, finance, clinical, foundation and research areas to understand their business operations and data needs and provide meaningful insights through data analysis and visualization.
Analyze data using relevant data tools, statistics and predictive analytics data models to uncover insights and trends in healthcare data.
Work within multidisciplinary teams to improve data management processes to optimize the collection, transformation, storage and analysis of internal and external datasets.
Support Process Improvement initiatives by identifying opportunities to automate and streamline data management processes, reducing manual interventions and improving efficiency.
Collaborate with other ICT team members, business owners and vendors to develop and maintain Data Infrastructure components.
Develop data visualization and data literacy training solutions and conduct training for end users on use of Business Intelligence tools and solutions.
Develop and maintain documentation/manuals on reports, dashboards, and portals.
Assess, respond, and log cases escalated to them by the ICT Support team.
Qualifications, Experience and Skills
Bachelor’s degree in Business Analytics, Data Science, Information Technology, Computer Science, math focused fields, or related fields.
Minimum of 5 years of experience as a Business Intelligence Analyst.
Strong communication, documentation, and presentation skills
Self-Motivated Individual with the ability to work in a team and on own initiative.
Strong analytical troubleshooting skills and a positive pragmatic approach
Proficient in data visualization tools such as Power BI, Tableau, or similar and SQL/database management systems
Proficiency in Data Warehouse management such as creating views, tables, procedures, dimensions.
Experience using advanced statistics and predictive analytics models will be a plus.",https://www.myjobmag.co.ke/job/business-intelligence-analyst-gertrude-s-children-s-hospital
Senior Analyst: Business Intelligence at Cellulant Corporation,"ROLE PURPOSE:
The Senior Analyst, Business Intelligence will play a critical role in driving financial planning and analysis for Cellulant by leveraging data visualization and analytical tools to provide insightful, accurate, and actionable financial reporting. This role focuses on transforming raw data into actionable insights that enhance organizational strategy and operations. The role holder will collaborate across departments to develop and maintain reporting systems, identify trends, and provide analytical support to business units. The role holder will be instrumental in creating dashboards, interpreting data, and presenting insights to enhance decision-making. This role also requires excellent accounting expertise, communication skills, and cross-functional collaboration, particularly with technical teams, to ensure seamless alignment and implementation of financial data analytics solutions.
KEY RESPONSIBILITIES:
Financial Analysis and Reporting:
Prepare comprehensive financial reports that inform and influence decision-making processes.
Analyse and interpret complex financial datasets to identify trends, anomalies, and actionable opportunities.
Create tools to simplify variance analysis, budget monitoring, and performance measurement.
Oracle BI and Power BI Dashboard Development:
Develop, maintain, and refine Power BI and Oracle BI dashboards tailored to business needs.
Automate processes for real-time monitoring of key financial metrics and operational performance.
Implement advanced analytics features in dashboards, such as predictive modelling and scenario planning, to support financial forecasting.
Accounting and Reconciliation:
Support financial accounting operations by ensuring accurate data reporting and ledger entries.
Perform reconciliation tasks, ensuring data integrity between financial systems and dashboards.
Collaborate with the accounting team to confirm compliance with reporting standards and deadlines.
Strategic Collaboration:
Work closely with the FP&A team to align data analytics initiatives with corporate strategy and financial objectives.
Act as a bridge between Finance and all relevant teams to translate complex financial requirements into data solutions.
Lead cross-functional meetings to address analytics gaps and support the integration of technical solutions into financial workflows.
Process Optimisation and Automation:
Identify inefficiencies in existing workflows and recommend solutions to optimise data handling and reporting processes.
Leverage analytics utilising either Power BI or Oracle BI and other tools to automate routine reporting tasks, freeing up time for strategic analysis.
Establish quality control measures to ensure all analytics outputs are accurate and reliable.
Training and Knowledge Sharing:
Provide training sessions and documentation to ensure teams across the organisation understand and utilise either Power BI or Oracle BI dashboards effectively.
Educate stakeholders on financial data interpretation and best practices for data-driven decision-making.
Stay updated on industry trends and innovations in data analytics tools to drive continuous improvement.
 Monitoring and Compliance:
Monitor financial performance metrics against established benchmarks, ensuring alignment with company goals.
Ensure all reporting systems comply with regulatory standards and internal controls.
Highlight risks and opportunities by analysing regulatory and market trends in the FinTech space.
Strategic Input and Leadership:
Participate in senior-level discussions by presenting data-driven insights that guide financial strategy.
Manage analytics projects from initiation to implementation, ensuring timely delivery and alignment with stakeholder expectations.
Support M&A and partnership evaluations by delivering detailed financial analyses and scenario-based modeling.
MUST HAVE EXPERIENCE:
Bachelor’s degree in Finance, Accounting, Business Analytics, or a related field.
5+ years of experience in financial analysis or related roles, with strong proficiency in accounting and reporting.
Advanced skills in analytics utilising either Power BI or Oracle BI, including data modelling, visualisation, and dashboard creation.
Excellent knowledge of accounting systems, standards and principles.
Demonstrated ability to interpret and communicate financial data effectively.
SKILLS
Technical Skills: Expertise in Power BI and or Oracle BI, accounting software, and data visualisation tools. Oracle BI expertise is preferable and must be expertise in data modelling and visualisation.
Analytical Skills: Strong ability to analyse complex financial data and translate it into actionable insights.
Communication Skills: Exceptional ability to collaborate with technical teams and convey financial concepts clearly.
Problem-Solving: Demonstrated capability to identify issues and implement efficient solutions.
Project Management: Strong organisational skills to handle multiple projects and meet tight deadlines.
KEY ATTRIBUTES
Problem-Solving: Strong analytical and problem-solving abilities to identify financial risks and opportunities.
Integrity: High ethical standards and commitment to maintaining the highest level of integrity in financial management.
Adaptability: Ability to thrive in a fast-paced, dynamic environment and manage multiple priorities.
Collaborative: A team player who can work effectively with cross-functional teams and senior management.
Resilience: Ability to navigate challenges and setbacks with a positive, solution-oriented approach.
Cultural Competence: Experience working in diverse, global environments with an understanding of cultural nuances.
Integrity: Maintains high ethical standards and professionalism in all interactions.",https://www.myjobmag.co.ke/job/senior-analyst-business-intelligence-cellulant-corporation
Business Intelligence Analyst at SENRI Ltd. (Africa Incubator Ltd.),"As a Business Intelligence(BI) Analyst, you will play a key role to design, develop, and maintain BI solutions using tools like Looker Studio and Tableau. This role involves gathering business requirements, creating dashboards and reports, and ensuring data accuracy to support strategic decision-making. The ideal candidate has a strong analytical mindset, experience in data visualization, and the ability to collaborate with stakeholders to translate business needs into actionable insights.
Key Responsibilities
Collaborate with stakeholders from both SENRI and client to gather and define BI requirements and align specifications.
Design and develop interactive dashboards and reports using Looker Studio or Tableau
Optimize data models and queries to improve performance and usability.
Ensure data accuracy and consistency by working with SENRI software engineers.
Perform troubleshooting for BI-related issues, including data inconsistencies, dashboard performance, and report errors by working with SENRI software engineers.
Maintain and enhance existing BI solutions, ensuring alignment with business goals.
Other administrative Support
Qualifications & Skills
Bachelor's degree or higher (preferably in a related field).
Proven experience in BI analyst, consultant or developer such as Looker Studio, Tableau or Power BI.
Strong analytical and problem-solving skills.
Experience in SaaS analytics or B2B product analysis is a plus.
Understanding of SQL and data modeling is a plus.
Ability to work effectively with cross-functional teams and clients.
Ability to communicate technical insights to non-technical stakeholders.",https://www.myjobmag.co.ke/job/business-intelligence-analyst-senri-ltd-africa-incubator-ltd
Junior Business Intelligence Analyst at SunCulture Kenya Ltd,"About the role
The Junior Business Intelligence (BI) Analyst will join our growing analytics team and will work closely with the data team to ensure the accuracy, reliability, and timeliness of our business KPIs through analytics and reporting. The junior BI Analyst will assist in integrating data assets from various systems and sources (external and internal) into the company’s systems, ensuring high-quality data flows and contributing to the development of insightful dashboards and reports. This role involves supporting multiple teams, systems, and products by providing actionable insights and maintaining high data quality standards.
Key Responsibilities
KPI Analytics & Reporting: Develop, maintain, and enhance dashboards and reports that track and visualize key business KPIs.
Data Quality Oversight: Investigate, troubleshoot, and document data issues from various sources, ensuring data integrity across all business processes.
Data Integration: Assist in integrating and monitoring data from various sources, ensuring it meets the required standards for reporting and analytics.
Automation: Drive automation of current reporting processes using tools such as PowerBI, MS Excel & VBA, and Data Studio.
Stakeholder Engagement: Partner with internal clients and key stakeholders to understand their reporting and analytical needs, translating them into actionable dashboards and reports.
Documentation Management: Manage and maintain documentation related to data quality, including data standards, definitions, checklists, guidelines, manuals, templates, and forms.
Continuous Improvement: Proactively work to improve BI Service SLAs, enhance data quality, and ensure on-time, on-budget delivery of projects and enhancements.
Qualifications
Knowledge of research methods, statistical or data analysis, and strong analytical/problem-solving and decision-making skills
Bachelor’s Degree in Information, Communication and Technology, Mathematics, Statistics, or equivalent and at least a Diploma in Analytics
Experience with data modeling, data warehousing, and ETL processes is a plus
Ability to analyze large datasets and provide valuable insights based on data analysis
Basic working knowledge of SQL and NoSQL databases, including Postgres, MongoDB, and Cassandra
Advanced knowledge of Excel, Power Query, and Dax is a plus.
A minimum of 1 year of work experience is required.
Strong verbal and written communication
Detail oriented with ability to make proper assumptions and recommendations.
The ability to work both as a team and independently",https://www.myjobmag.co.ke/job/junior-business-intelligence-analyst-sunculture-kenya-ltd
"Developer, Business Intelligence at Standard Bank Group","Job Description
The Business Intelligence Developer is responsible for designing, developing, and maintaining advanced business intelligence (BI) and performance management solutions. Leveraging modern analytics tools and methodologies, this role enables strategic decision-making by converting business and technical requirements into clear, actionable insights.
Qualifications
Type of Qualification: First Degree
Bachelor’s degree in information technology or a related field.
Certification in a major BI tool (Power BI).
Preferred:
Advanced certification in BI/data visualization platforms.
Experience Required
3-4 years
Proficient understanding of data lifecycle processes
Exposure to BI tools and best practices
Strong reporting and analytical skills using tools such as SQL, Python & Power BI DAX
Proven ability in data modeling and designing performance metrics
Prior experience in a business intelligence or data analytics role
Industry experience in banking or financial services is an added advantage.",https://www.myjobmag.co.ke/job/developer-business-intelligence-standard-bank-group-1
Supervisor – Business Artificial Intelligence (BAI) at Kenya Revenue Authority (KRA),"Job Summary
The jobholder shall be responsible for supporting the development and deployment of Artificial Intelligence (AI), drive business intelligence solutions to enhance tax compliance, fraud detection, and revenue forecasting through advanced data analytics and machine learning models.
Duties and responsibilities
Supervise and coordinate AI and data analytics projects and implement AI- driven strategies for business intelligence.
Ensure adherence to data governance, ethics, and regulatory compliance in AI initiatives.
Conduct data analysis and generate actionable insights to improve decision-making.
Develop and deploy AI models for predictive analytics in tax compliance and revenue forecasting.
Identify AI- driven solutions for the business, enabling operational efficiency in the Authority.
Implement automation in business intelligence and analytics using AI and machine learning techniques.
Provide technical mentorship to Officers in data analysis, AI model development, and implementation.
Monitor AI model performance and recommend improvements.
Ensure data integrity and security in all AI applications.
Prepare technical reports and visualizations to support AI-driven insights
Person specifications
For appointment to this job, the candidate must have:
A Bachelor’s degree in Data Science, Computer Science, Artificial Intelligence, Statistics, Economics, or a related field from a recognized university.
Certification in AI, Machine Learning, Data Science, or Business Intelligence will be an added advantage.
Membership to a relevant professional body.
Minimum of 3 years work experience in a similar role.",https://www.myjobmag.co.ke/job/supervisor-business-artificial-intelligence-bai-kenya-revenue-authority-kra
Assistant Manager – Business Intelligence Platform Engineering at Kenya Revenue Authority (KRA),"Job Purpose
The jobholder shall be responsible for implementing robust data pipelines that collect, process, and store data from various sources. The person shall design and maintain pipelines while ensuring data quality and reliability and collaborating with cross-functional teams to enable data-driven decision-making across the organization.
Duties and Responsibilities
Supervise and guide a team of data engineers to ensure timely delivery of data engineering projects, including the day to day administration of business intelligence platforms, tools and pipelines
Plan, prioritize, and execute data engineering initiatives within established timelines and budgets and collaborate closely with cross-functional teams to identify business challenges, opportunities, and data-driven solutions.
Track project progress, address challenges, and ensure alignment with organizational objectives, define, measure, and track key performance indicators (KPIs) to monitor organizational and departmental performance.
Design, build, and maintain scalable business intelligence platform, tools and data pipelines while ensuring that the data platforms infrastructure is optimized for performance and reliability.
Supervise Data Engineering team in defining the data management and analytics strategic roadmap and align it with the organization's objectives.
Integrate data from various systems, including structured and unstructured data sources, to create unified datasets and collaborate with data analytics and data science teams to support advance analytics and machine learning.
Supervise rollout of new enhancements across data platforms, including upgrades, relevant API deployments.
Assist in monitoring and maintaining the data infrastructure, ensuring high availability and performance, troubleshoot and resolve technical issues related to data storage, processing, and retrieval.
Implement processes to validate and monitor data quality, ensuring consistency and accuracy across systems.
Create and maintain documentation for the business intelligence platforms, tools, data pipelines, workflows, and infrastructure.
Define and enforce coding standards and best practices for data engineering.
Ensure data pipelines and storage systems adhere to security protocols and data privacy regulations.
Person Specifications
For appointment to this job, the candidate must have:
Bachelor’s degree in Computer Science, Data Science, Information Technology/Business Information Technology, Artificial Intelligence, Machine Learning, Economics, Statistics, Mathematics, Engineering or a related field.
Four (4) years relevant work experience, one (1) of which must be at Supervisory level.
Management Course lasting not less than four (4) weeks from a recognized institution, will be an added advantage.
Membership to a relevant professional body where applicable;
Practicing License where applicable.
Proficiency in Computer Applications.
Key Competencies
Innovative thinking
Organizational skills
Resilience and Adaptability
Critical Thinking and Problem-Solving
Customer-Centrism Approach
Professionalism, Ethical Judgment and Integrity",https://www.myjobmag.co.ke/job/assistant-manager-business-intelligence-platform-engineering-kenya-revenue-authority-kra
Business Intelligence & Analytics Manager at 4G Capital,"As the Business Intelligence and Analytics Manager, you will play a central role in shaping strategy, operational efficiency, and innovation across the company. You’ll lead a talented team of analysts and BI professionals, champion a culture of data-informed decision-making, and deliver insights that power our finance, product, operations, and growth functions.
Key Responsibilities
Leadership & Strategy
Define and lead the BI and analytics strategy aligned with 4G Capital’s business objectives
Manage, coach, and inspire a high-performing team of analysts and BI professionals
Collaborate with senior leaders to identify priorities and develop data-driven solutions
Promote a data-first mindset across the organisation
Analytics & Reporting
Oversee the development of dashboards, KPIs, and reports that drive insights across departments
Ensure accuracy, quality, and relevance of analytics deliverables
Conduct deep-dive analyses to uncover growth opportunities and performance bottlenecks
Pilots & Experimentation
Design and evaluate data-driven experiments (e.g., A/B tests) in partnership with product, marketing, and operations
Apply statistical rigor to ensure reliable and actionable outcomes
Translate findings into clear, scalable recommendations
Data Infrastructure & Governance
Collaborate with data engineering and IT to maintain robust, scalable data pipelines and tools
Champion data governance, security, and compliance standards
Ensure data accessibility, consistency, and documentation across the organisation
BI Tools & Technology
Manage and optimize BI platforms (e.g., Power BI, Tableau, Looker)
Recommend and implement new tools as data needs evolve
Drive automation and self-service capabilities across departments
Stakeholder Engagement
Serve as the primary BI point of contact for business units
Present strategic insights to leadership and cross-functional teams in clear, actionable ways
Tailor reporting and analytics solutions to meet department-specific needs
What You’ll Bring
Bachelor’s degree in Data Science, Computer Science, Business Analytics, Economics, or related field (Master’s preferred)
5+ years’ experience in BI or analytics, including 2+ years in a leadership role
Proven expertise in SQL and BI tools (Power BI, Looker, Tableau, etc.)
Solid knowledge of data warehousing, ETL processes, and cloud data platforms (e.g.,BigQuery, Snowflake, AWS, Azure)
Strong communication skills with a track record of influencing decisions through data
Exceptional analytical thinking and a practical, problem-solving mindset",https://www.myjobmag.co.ke/job/business-intelligence-analytics-manager-4g-capital
